	user_iduser_id	YoB	grade	neventsuser_id	ndays_act	nplay_video	nforum_postsuser_id	nforum_endorsed	nforum_threadsuser_id	nforum_comments	ntranscriptuser_id	nshow_answer	nvideo	nseq_gotouser_id	nseek_videouser_id	npause_videouser_id	avg_dtuser_id	sdv_dtuser_id	max_dtuser_id	n_dt	sum_dtuser_id	isstaff	user_iduser_id	neventsuser_id	nplayvideo	ntranscriptuser_id	nseq_gotouser_id	nseek_videouser_id	npause_videouser_id	nvideos_viewed	nvideos_watched_sec	nforum_reads	nforum_postsuser_id	nforum_threadsuser_id	avg_dtuser_id	sdv_dtuser_id	max_dtuser_id	sum_dtuser_id	nproblems_attempted	nproblems_answered
38	579	1987.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	2027	110.0	0.0	0.0	11.0	0.0	0.0	0	0.0	0	0	0	11.181506188118815	30.671844642456875	208.12809099999998	1129.3321250000004	0	0
39	5823	0.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	3707	5.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	12.6764155	24.67506000694705	49.688441	50.705662	0	0
40	5405	1995.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	2027	238.0	0.0	0.0	1.0	0.0	0.0	0	0.0	0	0	0	5.488391260683764	16.169874731288125	126.239916	1284.2835550000007	0	0
41	1409	1965.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	2027	29.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	1.9751176666666668	3.5312917664042853	14.522182999999998	53.328177	0	0
42	5015	1982.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	4489	9.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	36.675558333333335	87.67015687838997	215.62864900000002	220.05335	0	0
43	2687	1976.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	2027	83.0	0.0	0.0	8.0	0.0	0.0	0	0.0	0	0	0	25.055753302631587	52.46858933711742	226.326321	1904.237251	1	1
44	2116	1990.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	706	56.0	0.0	0.0	32.0	0.0	0.0	0	0.0	0	0	0	18.429602163636364	44.63160165632592	223.574651	1013.628119	0	0
45	2337	1991.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	3707	30.0	0.0	0.0	9.0	0.0	0.0	0	0.0	0	0	0	31.15055724137931	51.130144297703026	201.451889	903.3661599999999	0	0
46	3544	1992.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	4489	1.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0	0
47	1955	1990.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	2027	40.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0.5423689736842104	1.0513652956857853	4.273401	20.610021	0	0
48	5687	1989.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	3707	17.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	36.62687553333333	84.91831710553214	289.325835	549.403133	12	12
